# 「基本辞書データ（漢字、自由）.tsv」片山博文MZ
# This file is public domain software.
今日	キョウ。このヒ。
今晩	コンバン。
今月	現在のツキ。
今週	現在のシュウ。
介入	当事者以外の者がハイり込むこと。
介護職	カイゴショク。
介護職員	カイゴショクイン。
介護費用	カイゴヒヨウ。
仏像	ホトケのゾウ。
仏前	ホトケのマエ。
仏教	ブッダが説いた教え。
仏教徒	ブッダが説いた教えに従う人。
仏様	ホトケの敬称。
仏頂面	無愛想で不機嫌な顔。ブッチョウヅラ。
仕事	すること。しなくてはならないこと。
仕事内容	シゴトナイヨウ。
仕事量	シゴトリョウ。
仕入	再販売を目的として商品を購入すること。
仕方	シカタ。
仕業	「あいつの○○に違いない」
他人	ホカのヒト。
他力	タ人のチカラ。
他国	ホカのクニ。
他殺	タ人にコロされたこと。
他言	秘密などを他の人に話すこと。「○○は無用」
付加価値	フカカチ。
付属	フゾク。
付根	物と物がくっツいているネ元の部分。
付着	くっツくこと。
付着物	くっツいたモノ。
付近	フキン。
付録	フロク。
代名詞	「あれ」「これ」「それ」
代物	シロモノ。
代理	そのヒトにカわって物事を処理すること。「○○人」
代理人	そのヒトにカわって物事を処理するヒト。
代理出産	ダイリシュッサン。
代理母	ダイリハハ。
代用	カわりに使うこと。
代用品	カわりになるもの。
代行	カわって事をオコナうこと。「運転○○」
代表	全体の状態や性質などを、一つのものだけでよく表すこと。
代表作	サク者の特色を最もよく表したサク品。
代表取締役	会社をダイヒョウする権限を持つトリシマリヤク。
代表者	機関やグループに代わって、その考え・意見を外部に表す人。
代表質問	ダイヒョウシツモン。
代表選手	ダイヒョウセンシュ。
代議士	ダイギシ。
代金	品物の買い手が売り手に支払う金。ダイキン。
代金引換	ダイキンヒキカエ。
以上	「x≧0」は、エックスがゼロ○○であることを表す。
以下	「x≦0」は、エックスがゼロ○○であることを表す。
以内	ある数量がある範囲に含まれていること。
以前	イゼン。「○○はやさしかったのに」
以外	そのホカであること。そのホカのもの。 
以後	「○○、気をつけます」
以心伝心	だまっていても相手に気持ちがツタわること。
以来	それよりのち。イライ。
以降	それよりのち。イコウ。
仮名	カナ。
仮定	カリに決めること。カテイ。
仮想敵	カソウテキ。
仮死	一見シんだように見える状態。「○○状態」
仮死状態	カシジョウタイ。
仮病	ケビョウ。
仮眠	カミン。
仮称	カリに付けた名前。
仮設	カリにセッ置すること。「○○トイレ」
仮設住宅	カセツジュウタク。
仮説	セツ明のための基本的なカ定。
仮面	マスク。
仲人	ナコウド。
仲介業者	チュウカイギョウシャ。
仲間	ある物事を一緒になってする者。同じ種類。
件数	ケンスウ。
任務	課せられた仕事。ミッション。
任命	ある官職や役目に就くようメイじること。
任期	その役職に就任するキ間のこと。
任期満了	ニンキマンリョウ。
企業	経済活動を行う経済主体。
企業価値	キギョウカチ。
企業倒産	キギョウトウサン。
企業献金	キギョウケンキン。
企業秘密	キギョウヒミツ。
企業経営	キギョウケイエイ。
企業統治	キギョウトウチ。
企業買収	キギョウバイシュウ。
企画	新しく事柄や催し物を計画すること。
企画書	キカクショ。
休刊	定期カン行物が、ある期間カン行を休むこと。
休場	ヤスんで出ジョウしないこと。
休学	ガッ校をヤスむこと。
休息	イキぬき。
休日	ヤスむヒ。
休校	学コウをヤスむこと。
休業	仕事をヤスむこと。
休業日	仕事をヤスむヒ。
休養	仕事などをヤスんで体力・気力をヤシナうこと。
会合	相談・討議などのために人が寄り集まること。カイゴウ。
会員	カイに加入している人や組織。
会員制	カイインセイ。
会員権	カイインのケン利。「ゴルフ○○○」
会場	カイ議や催し物などが開かれるバ所。
会社	カイシャ。
会社員	カイシャイン。
会見	改まった形で人に会うこと。「記者○○」
会計	金銭の収支を記録すること。
会話	二人以上が、互いにハナシ合うこと。「英○○」
