# 「基本辞書データ（英和、自由）.tsv」片山博文MZ
# This file is public domain software.
captive	とりこ。捕虜。
captivity	とらわれの身。監禁状態。
capture	捕獲。逮捕。捕虜。
car	自動車。車。車両。
caramel	キャラメル。カラメル。
carat	宝石の重さの単位、カラット。
caravan	キャラバン。隊商。大型ほろ馬車。移動住宅。
carbohydrate	炭水化物。
carbon	炭素。炭素棒。(複写用の)カーボン紙。
card	カード。はがき。トランプ。
cardboard	厚紙。ボール紙。
care	心配。気苦労。心配事。世話。
career	経歴。職業。出世。進展。
cargo	積み荷。
Caribbean	カリブ人。カリブ海。
carnival	謝肉祭。カーニバル。お祭り騒ぎ。
carnivore	肉食動物。
carp	コイ。
carpenter	大工。
carpet	じゅうたん。カーペット。
carriage	馬車。車両。うば車。運搬。運賃。
carrier	運搬人。配達人。保菌者。媒介者。キャリア。
carrot	ニンジン。
cartel	カルテル。企業連合。挑戦状。
cartoon	風刺漫画。時事漫画。続き漫画。
cartridge	カートリッジ。カセット。薬きょう。
carving	彫刻。彫り物。
case	場合。事情。事件。容器。
cash	現金。
cashbook	現金出納帳。
cashier	出納係。会計。レジ。
casino	カジノ。
cassette	カセット。
cast	投げること。配役。キャスト。傾向。
castanet	カスタネット。
castle	城。大邸宅。
cat	猫。
catalog	カタログ。目録。
catch	捕らえること。獲物。留め金。わな。
catcher	捕手。キャッチャー。
category	範疇。カテゴリー。部門。
caterpillar	毛虫、いも虫。キャタピラー。
catfish	ナマズ。
Catholic	カトリック教徒。旧教徒。
cattle	牛。家畜。
cause	原因。理由。主義。訴訟。
caution	用心。慎重さ。警告。
cave	ほら穴。
cavern	ほら穴。(大きな)洞窟。
caviar	キャビア。
CD	コンパクトディスク。
cease	終止。「絶え間なく」＝``without ～''
ceiling	天井。最高限度。
celeb	名士。有名人。セレブ。
celebration	祝賀。祝典。賞賛。
celery	セロリ。
cell	細胞。小部屋。電池。
cellar	地下室。ワインの蓄え。最下位。
cello	チェロ。
cellophane	セロハン。
cement	セメント。
censor	検閲。風紀係。センサー。
censorship	検閲制度。検閲職。
censure	激しい非難。厳しい批判。とがめ。
census	国勢調査。人口調査。センサス。
center	中心。中央。真ん中。中心地。センター。
centimeter	センチメートル。
century	世紀。
CEO	最高経営責任者。
cereal	穀類。穀物。加工穀物食。
ceremony	儀式。式典。礼儀。
certificate	証明書。証券。
CG	コンピューターグラフィックス。
chain	くさり。連なり。束縛。
chair	（１人用で背もたれのある）いす。
chairman	議長。委員長。司会者。
chalk	チョーク。
challenge	挑戦。異議申し立て。呼びとめ。
chamber	部屋。寝室。議場。判事室。
chameleon	カメレオン。
champ	チャンピオンの略。
champion	優勝者。チャンピオン。
chance	機会。チャンス。偶然。可能性。
change	変化。変更。取替え。つり銭。
channel	海峡。水路。チャンネル。伝達手段。
chant	唱歌。さえずり。
chaos	無秩序。混沌状態。カオス。
chapel	礼拝堂。礼拝室。礼拝。
chapter	章。支部。総会。
character	個性。特質。人格。登場人物。文字。
charcoal	木炭。炭。
charge	料金。費用。責任。預かり物。告発。攻撃。充電。
charity	慈悲。事前。慈善事業。チャリティー。
charm	魅力。女性の美しさ。お守り。まじない。
chart	図表。海図。
charter	特許状。特権。宣言。憲章。貸切。チャーター。
chase	追跡。追撃。狩猟。
chat	雑談。おしゃべり。
chatter	おしゃべり。鳥やサルなどが鳴く声。
cheat	詐欺。不正行為。詐欺師。
check	照合。チェック。小切手。勘定書。抑制。
checker	格子じま。市松模様。
cheek	ほお。なまいき。
cheer	応援。声援。気分。食べ物。
cheese	チーズ。
cheesecake	チーズケーキ。
cheetah	チーター。
chef	コック長。シェフ。
chemical	化学物質。
